URL,Description,BrandName,Category,Individual_category,category_by_Gender,Ratings,Reviews,OriginalPrice,AGE
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-jeans/2296012/buy,roadster men navy blue slim fit mid rise clean look jeans,Roadster,Bottom Wear,jeans,Men,3.9,999,1499,19
https://www.myntra.com/track-pants/locomotive/locomotive-men-black--white-solid-slim-fit-track-pants/13780156/buy,locomotive men black  white solid slim fit track pants,LOCOMOTIVE,Bottom Wear,track-pants,Men,4,999,1149,19
https://www.myntra.com/shirts/roadster/roadster-men-navy-white--black-geometric-printed-sustainable-casual-shirt/11895958/buy,roadster men navy white  black geometric printed sustainable casual shirt,Roadster,Topwear,shirts,Men,4.3,999,1399,19
https://www.myntra.com/shapewear/zivame/zivame-women-black-saree-shapewear-zi3023core0nude/4335679/buy,zivame women black saree shapewear zi3023core0nude,Zivame,Lingerie & Sleep Wear,shapewear,Women,4.2,999,1295,19
https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,roadster women white solid v neck pure cotton t shirt,Roadster,Western,tshirts,Women,4.2,999,599,19
https://www.myntra.com/tops/mast--harbour/mast--harbour-women-yellow-solid-tank-top/2490950/buy,mast  harbour women yellow solid tank top,Mast & Harbour,Western,tops,Women,4.4,999,599,19
https://www.myntra.com/trousers/highlander/highlander-men-olive-green-slim-fit-solid-regular-trousers/6744434/buy,highlander men olive green slim fit solid regular trousers,HIGHLANDER,Bottom Wear,trousers,Men,3.9,998,1499,19
https://www.myntra.com/tops/mayra/mayra-pink-embroidered-a-line-pure-cotton-top/8439415/buy,mayra pink embroidered a line pure cotton top,Mayra,Western,tops,Women,3.7,998,1395,19
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-solid-t-shirts/17381394/buy,roadster women pack of 2 solid t shirts,Roadster,Western,tshirts,Women,4.3,997,1098,19
https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-clean-look-ankle-length-stretchable-jeans/2359257/buy,herenow men blue slim fit mid rise clean look ankle length stretchable jeans,HERE&NOW,Bottom Wear,jeans,Men,3.5,996,2749,19
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-rapid-dry-training-tights/7695793/buy,hrx by hrithik roshan men rapid dry training tights,HRX by Hrithik Roshan,Sports Wear,tights,Men,4.4,996,2699,19
https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--white-striped-polo-collar-pure-cotton-t-shirt/10307375/buy,roadster men navy blue  white striped polo collar pure cotton t shirt,Roadster,Topwear,tshirts,Men,4.1,996,699,19
https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-pink--white-printed-kurta-with-trousers--dupatta/12873874/buy,anubhutee women pink  white printed kurta with trousers  dupatta,Anubhutee,Indian Wear,kurta-sets,Women,4.2,996,3399,19
https://www.myntra.com/jumpsuit/athena/athena-women-black-solid-basic-jumpsuit/11634538/buy,athena women black solid basic jumpsuit,Athena,Western,jumpsuit,Women,4.3,996,2499,19
https://www.myntra.com/tshirts/roadster/roadster-women-maroon-solid-round-neck-t-shirt/2312181/buy,roadster women maroon solid round neck t shirt,Roadster,Western,tshirts,Women,4,996,799,19
https://www.myntra.com/shirts/highlander/highlander-men-blue--black-slim-fit-printed-casual-shirt/13842386/buy,highlander men blue  black slim fit printed casual shirt,HIGHLANDER,Topwear,shirts,Men,4.2,995,1099,19
https://www.myntra.com/kurtas/vishudh/vishudh-women-blue--pink-floral-print-a-line-kurta/10473520/buy,vishudh women blue  pink floral print a line kurta,Vishudh,Indian Wear,kurtas,Women,4.2,995,1699,19
https://www.myntra.com/kurta-sets/sangria/sangria-women-green--off-white-printed-kurta-with-palazzos--dupatta/10561392/buy,sangria women green  off white printed kurta with palazzos  dupatta,Sangria,Plus Size,kurta-sets,Women,4.3,995,3999,19
https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-olive-green-regular-fit-solid-cargos/12391750/buy,tokyo talkies women olive green regular fit solid cargos,Tokyo Talkies,Western,trousers,Women,4.1,995,2149,19
